PC1,PC2,PC3,PC4,PC5
65.49198606378432,15.717910579257506,-524.2678151583174,32.28306953449169,61.17568752678901
-261.0952834249368,71.36457821713493,-208.49701793119388,-10.95314397559869,137.20315697168698
-229.63885957026253,-354.5379839570482,-254.90737576811134,-67.80476813442463,91.12997498302096
152.30894025006688,-101.29268447707457,-232.62225930326946,-24.989607552534725,21.091176931020932
-72.68706729352402,-100.37503248209237,-115.76884393651665,-254.31100813546612,-57.087861286400745
50.714682115030314,254.2377718412199,-208.39826301982689,-198.53152933673198,120.4146080156916
-116.42121145753916,-299.9053456536,-36.52274926453098,-210.13803661346716,-41.024127814666905
321.224178173424,-123.47794602801123,6.447775867754004,94.40395301153097,-27.701175122955483
-87.13910893406052,169.70927527479057,31.416230466307663,-361.4072896710961,21.47142370473123
116.98182013372825,223.29306858345757,530.6745134256375,162.09739509282255,12.25678112101524
250.98810289446206,113.63102246088204,238.4069995252217,14.368012625761892,451.4143453801144
433.7175427599176,313.660365126328,-166.72057377806473,116.5049124789655,-410.05784711487354
-447.9557890977941,77.99912324651572,183.08981771676363,59.677073710578696,-148.7401265558
-205.77688943800865,-25.647763409997204,312.53023163080377,86.29276710465697,-91.2204958709133
-134.3987421080261,-159.3029308199359,299.19339434358875,159.92696654146286,16.129006159426105
373.3518953046538,-116.89875269810244,90.75155300386552,322.6082293459373,33.81688026235351
-209.66619637091665,41.82532419627616,55.1943821798868,79.97300397311328,-190.27140729023986
